,S/N,Product Name,Product Description,Old Price,Discount('%'),Promo Price
0,1,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
2,2,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
3,3,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
4,4,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
5,5,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
7,6,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
8,7,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
9,8,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
10,9,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
12,10,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
13,11,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
14,12,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
15,13,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
17,14,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
18,15,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
19,16,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
20,17,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
22,18,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
23,19,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
24,20,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
25,21,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
27,22,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
28,23,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
29,24,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
30,25, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
32,26,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
33,27,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
34,28,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
35,29,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
37,30,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
38,31,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
39,32,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
40,33,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
42,34,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
43,35,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
44,36,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
45,37,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
47,38,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
48,39,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
49,40,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
50,41,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
52,42,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
53,43,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
54,44,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
55,45,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
57,46,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
58,47,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
59,48,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
60,49,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
62,50,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
63,51,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
64,52,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
65,53,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
67,54,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
68,55,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
69,56,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
70,57,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
72,58,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
73,59,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
74,60,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
75,61,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
77,62,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
78,63,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
79,64, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
80,65,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
82,66,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
83,67,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
84,68,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
85,69,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
87,70,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
88,71,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
89,72,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
90,73,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
92,74,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
93,75,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
94,76,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
95,77,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
97,78,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
98,79,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
99,80,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
100,81,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
102,82,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
103,83,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
104,84,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
105,85,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
107,86,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
108,87,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
109,88,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
110,89,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
112,90,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
113,91,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
114,92,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
115,93,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
117,94,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
118,95,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
119,96,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
120,97,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
122,98,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
123,99,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
124,100,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
125,101,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
127,102,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
128,103,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
129,104,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
130,105, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
132,106,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
133,107,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
134,108,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
135,109,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
137,110,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
138,111,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
139,112,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
140,113,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
142,114,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
143,115,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
144,116,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
145,117,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
147,118,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
148,119,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
149,120,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
150,121,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
152,122,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
153,123,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
154,124,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
155,125,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
157,126,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
158,127,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
159,128,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
160,129,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
162,130,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
163,131,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
164,132,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
165,133,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
167,134,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
168,135,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
169,136,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
170,137,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
172,138,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
173,139,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
174,140,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
175,141,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
177,142,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
178,143,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
179,144,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
180,145, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
182,146,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
